String,Trigger
Shut off the fan,#FAN_OFF
Turn fan off,#FAN_OFF
Fan off,#FAN_OFF
Turn off the fan,#FAN_OFF
Stop supplying electricity to fan,#FAN_OFF
Turn off fan,#FAN_OFF
Shut down the fan,#FAN_OFF
Put down the fan,#FAN_OFF
Plug off the fan,#FAN_OFF
Turn off the fan,#FAN_OFF
I am feeling cold here,#FAN_OFF
I need some hotness,#FAN_OFF
Deactivate the fan,#FAN_OFF
Stop the fan,#FAN_OFF
Let the room get warm,#FAN_OFF
Switch off the fan,#FAN_OFF
Open the door,#DOOR_OPEN
Push the door back,#DOOR_OPEN
Unlock the door,#DOOR_OPEN
Let them inside,#DOOR_OPEN
Open the door,#DOOR_OPEN
Let the person outside the door come inside,#DOOR_OPEN
Unlock the door,#DOOR_OPEN
See who is outside,#DOOR_OPEN
I want to go out,#DOOR_OPEN
My friend is at the door,#DOOR_OPEN
Someone known is outside the door,#DOOR_OPEN
Let the dog come inside,#DOOR_OPEN
Close the door,#DOOR_CLOSE
Lock the door,#DOOR_CLOSE
Push the door front,#DOOR_CLOSE
Secure the grid,#DOOR_CLOSE
Shut the door,#DOOR_CLOSE
close the door,#DOOR_CLOSE
Let the person outside the door come inside,#DOOR_CLOSE
lock the door,#DOOR_CLOSE
Do not let anyone in,#DOOR_CLOSE
Do not let the dog go outside,#DOOR_CLOSE
Pull off the curtains,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Remove the curtains,#CURTAINS_OPEN
Curtains out,#CURTAINS_OPEN
Fold the curtains,#CURTAINS_OPEN
Roll the curtains,#CURTAINS_OPEN
Please open the curtains,#CURTAINS_OPEN
Open the blinds,#CURTAINS_OPEN
Bring in sunlight,#CURTAINS_OPEN
Let some sunlight in,#CURTAINS_OPEN
Curtains off,#CURTAINS_OPEN
Show some view,#CURTAINS_OPEN
Open curtains,#CURTAINS_OPEN
open curtain,#CURTAINS_OPEN
Curtains open,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Turn on the curtain,#CURTAINS_OPEN
Need some sunlight,#CURTAINS_OPEN
I need some outside light,#CURTAINS_OPEN
I want to see the sunrise,#CURTAINS_OPEN
I want to see the sunset,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Unfurl the curtains,#CURTAINS_OPEN
Unroll the curtains,#CURTAINS_OPEN
Wide open the curtains,#CURTAINS_OPEN
Let the sun rays come inside,#CURTAINS_OPEN
Let the natural light come in the room,#CURTAINS_OPEN
Let the natural light brighten the room,#CURTAINS_OPEN
I want some natural light,#CURTAINS_OPEN
I want to take some fresh air,#CURTAINS_OPEN
Show me the view outside,#CURTAINS_OPEN
Show me the outside view,#CURTAINS_OPEN
Close the curtains,#CURTAINS_CLOSE
Draw the curtains,#CURTAINS_CLOSE
Curtains down,#CURTAINS_CLOSE
Curtains in,#CURTAINS_CLOSE
Please close the curtains,#CURTAINS_CLOSE
Close the blinds,#CURTAINS_CLOSE
Block the sunlight,#CURTAINS_CLOSE
Curtains on,#CURTAINS_CLOSE
Get the curtains,#CURTAINS_CLOSE
Block the sun,#CURTAINS_CLOSE
Close curtains,#CURTAINS_CLOSE
close curtain,#CURTAINS_CLOSE
Curtains close,#CURTAINS_CLOSE
close the curtains,#CURTAINS_CLOSE
Turn off the curtain,#CURTAINS_CLOSE
Sleeping time,#CURTAINS_CLOSE
Close the curtains,#CURTAINS_CLOSE
It is too sunny outside,#CURTAINS_CLOSE
It is too bright outside,#CURTAINS_CLOSE
Too many mosquitoes in the room,#CURTAINS_CLOSE
I want curtains down.,#CURTAINS_CLOSE
I do not want to see the outside view,#CURTAINS_CLOSE
Roll down the curtains,#CURTAINS_CLOSE
I need only inside light,#CURTAINS_CLOSE
